iso_o,iso_d,dist,distw,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,log_dist,historical_tie,common_language
ARE,QAT,303.9436,388.6831,1,1,1,0,1,0,0,0,5.716842157878296,1,1
ARE,RWA,3943.711,4063.961,0,0,0,0,0,0,0,0,8.27987743717565,0,0
ARE,SAU,774.5853,1239.456,1,1,1,0,0,0,0,0,6.652327789363783,0,1
ARE,SEN,7540.002,7566.036,0,0,0,0,0,0,0,0,8.927977726253957,0,0
ARE,SGP,5904.872,5843.977,0,0,0,0,1,0,0,0,8.683533051851223,1,0
ARE,SVK,4189.749,4101.007,0,0,0,0,0,0,0,0,8.340396106587228,0,0
ARE,SVN,4284.904,4285.431,0,0,0,0,0,0,0,0,8.362853427046957,0,0
ARE,SWE,4796.377,4859.49,0,0,0,0,0,0,0,0,8.475616120230667,0,0
ARE,THA,4967.796,4903.947,0,0,0,0,0,0,0,0,8.510731559968283,0,0
ARE,TUN,4406.945,4443.1,0,1,1,0,0,0,0,0,8.390936984618886,0,1
ARE,TUR,2994.246,2720.666,0,0,0,0,0,0,0,0,8.004447725932927,0,0
ARE,TZA,3852.073,4006.113,0,0,0,0,1,0,0,0,8.25636672393263,1,0
ARE,UGA,3570.466,3656.277,0,0,0,0,1,0,0,0,8.180451398467982,1,0
ARE,URY,13351.9,13446.89,0,0,0,0,0,0,0,0,9.499413975798944,0,0
ARE,USA,11029.46,12196.15,0,0,0,0,0,0,0,0,9.308325153660157,0,0
ARE,UZB,2318.684,2144.198,0,0,0,0,0,0,0,0,7.748755062338789,0,0
ARE,VNM,5265.521,5518.667,0,0,0,0,0,0,0,0,8.568935375037938,0,0
ARE,ZAF,7530.202,6756.299,0,0,0,0,0,0,0,0,8.926677146463344,0,0
ARE,ZMB,5274.503,5249.955,0,0,0,0,1,0,0,0,8.570639735895993,1,0
ARE,ZWE,5347.186,5556.155,0,0,0,0,1,0,0,0,8.584325720204948,1,0
ARG,AGO,7792.03,7977.916,0,0,0,0,0,0,0,0,8.960856695417629,0,0
ARG,ARE,13557.2,13816.55,0,0,0,0,0,0,0,0,9.514673050496942,0,0
ARG,AUS,11801.36,12044.57,0,0,0,0,0,0,0,0,9.375970058049784,0,0
ARG,AUT,11833.76,11751.15,0,0,0,0,0,0,0,0,9.37871174248341,0,0
ARG,AZE,13853.84,13853.48,0,0,0,0,0,0,0,0,9.536317729504745,0,0
ARG,BEL,11326.76,11305.29,0,0,0,0,0,0,0,0,9.334923346665123,0,0
ARG,BGD,16788.4,16993.58,0,0,0,0,0,0,0,0,9.728443450712403,0,0
ARG,BGR,11954.84,12115.57,0,0,0,0,0,0,0,0,9.388891496281326,0,0
ARG,BOL,2239.669,1865.839,1,1,1,0,0,0,0,1,7.714083366073197,1,1
ARG,BRA,1691.067,2391.846,1,0,0,0,0,0,0,0,7.4331149696393926,0,0
ARG,BWA,8001.549,8336.667,0,0,0,0,0,0,0,0,8.987390426919072,0,0
ARG,CAN,8970.104,9391.461,0,0,0,0,0,0,0,0,9.101652549188527,0,0
ARG,CHE,11214.51,11232.93,0,0,0,0,0,0,0,0,9.324963754515188,0,0
ARG,CHL,1128.317,1156.726,1,1,1,0,0,0,0,0,7.028482420945723,0,1
ARG,CHN,19297.47,19110.13,0,0,0,0,0,0,0,0,9.867729278217281,0,0
ARG,CMR,8456.569,8732.01,0,0,0,0,0,0,0,0,9.042698814784817,0,0
ARG,COL,4706.263,4615.471,0,1,1,0,0,0,0,0,8.456649453828586,0,1
ARG,CRI,5653.427,5423.042,0,1,1,0,0,0,0,0,8.640017188936756,0,1
ARG,CYP,12291.57,12365.9,0,0,0,0,0,0,0,0,9.416668940536306,0,0
ARG,CZE,11836.83,11889.49,0,0,0,0,0,0,0,0,9.378971136103699,0,0
ARG,DEU,11512.14,11646.03,0,0,0,0,0,0,0,0,9.351157409716329,0,0
ARG,DNK,12089.47,12006.05,0,0,0,0,0,0,0,0,9.400090104765383,0,0
ARG,DOM,6036.692,5874.742,0,1,1,0,0,0,0,0,8.705611458777021,0,1
ARG,DZA,10188.35,10171.67,0,0,0,0,0,0,0,0,9.229000189651385,0,0
ARG,ECU,4360.514,4047.071,0,1,1,0,0,0,0,0,8.380345219302868,0,1
ARG,EGY,11838.13,11928.12,0,0,0,0,0,0,0,0,9.3790809567751,0,0
ARG,ESP,10065.85,10079.66,0,1,1,1,0,0,0,0,9.216903785576159,1,1
ARG,EST,12925.75,12925.28,0,0,0,0,0,0,0,0,9.466976724772428,0,0
ARG,ETH,11256.4,11459.45,0,0,0,0,0,0,0,0,9.328692134765516,0,0
ARG,FIN,12971.3,12969.02,0,0,0,0,0,0,0,0,9.470494503590675,0,0
ARG,FRA,11072.25,10932.34,0,0,0,0,0,0,0,0,9.312197257082307,0,0
ARG,GBR,11147.48,11136.96,0,0,0,0,0,0,0,0,9.318968742375779,0,0
ARG,GEO,13503.55,13501.66,0,0,0,0,0,0,0,0,9.510707892820784,0,0
ARG,GHA,7560.425,7701.868,0,0,0,0,0,0,0,0,8.930682684524683,0,0
ARG,GRC,11711.41,11772.04,0,0,0,0,0,0,0,0,9.368318859249136,0,0
ARG,GTM,6446.824,6217.216,0,1,1,0,0,0,0,0,8.771342885418825,0,1
ARG,HRV,11656.09,11658.35,0,0,0,0,0,0,0,0,9.36358406919046,0,0
ARG,HUN,11957.08,11973.17,0,0,0,0,0,0,0,0,9.389078850538663,0,0
ARG,IDN,15235.78,15581.88,0,0,0,0,0,0,0,0,9.631401888008815,0,0
ARG,IND,15817.92,15676.28,0,0,0,0,0,0,0,0,9.668898753537176,0,0
ARG,IRL,11012.97,10913.81,0,0,0,0,0,0,0,0,9.306828948107842,0,0
ARG,IRN,13803.13,13881.96,0,0,0,0,0,0,0,0,9.532650657021637,0,0
ARG,IRQ,13110.86,13251.44,0,0,0,0,0,0,0,0,9.481196173385797,0,0
ARG,ISL,11455.87,11375.4,0,0,0,0,0,0,0,0,9.346257541370678,0,0
ARG,ISR,12241.62,12350.1,0,0,0,0,0,0,0,0,9.412596900249616,0,0
ARG,ITA,11173.56,11214.01,0,0,0,0,0,0,0,0,9.321305552118325,0,0
ARG,JOR,12330.83,12429.66,0,0,0,0,0,0,0,0,9.419857909383477,0,0
ARG,JPN,18372.04,18310.16,0,0,0,0,0,0,0,0,9.818585222669528,0,0
ARG,KAZ,16110.66,15718.94,0,0,0,0,0,0,0,0,9.687236443674484,0,0
ARG,KEN,10423.36,10647.45,0,0,0,0,0,0,0,0,9.251804720143152,0,0
ARG,KHM,16965,17208.44,0,0,0,0,0,0,0,0,9.73890767721833,0,0
ARG,KOR,19447.35,19146.65,0,0,0,0,0,0,0,0,9.875466092977524,0,0
ARG,KWT,13226.28,13353.04,0,0,0,0,0,0,0,0,9.489961038432414,0,0
