iso3c,country,year,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,indicator,value
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,72679.2575396348
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,334017321
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,92.72850037
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,3.48736
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.69414902
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,NA
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,NA
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.3853658536585
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,74158.7164155605
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,336806231
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,93.52559662
USA,United States,2023,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,3.44716
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,NA
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,NA
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,NA
USA,United States,2024,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.890243902439
