iso3c,year,indicator_code,value,value_text,parent_location,parent_location_code,indicator_label,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
AGO,2021,UHC_SCI_RMNCH,44,44,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2022,GHED_EXTCHE_SHA2011,4.6001029,4.60,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2022,SDGIHR2021,58,58,Africa,AFR,IHR SPAR second edition average core capacity score,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2022,UHC_INDEX_REPORTED,45,45,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2022,UHC_SCI_CAPACITY,44,44,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2022,UHC_SCI_INFECT,35,35,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2022,UHC_SCI_NCD,60,60,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2022,UHC_SCI_RMNCH,44,44,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,GHED_EXTCHE_SHA2011,7.16891336,7.17,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,SDGIHR2021,57.4667,57,Africa,AFR,IHR SPAR second edition average core capacity score,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,UHC_AVAILABILITY_SCORE,50,50,Africa,AFR,Primary data availability for UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,UHC_INDEX_REPORTED,44,44,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,UHC_SCI_CAPACITY,44,44,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,UHC_SCI_INFECT,32,32,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,UHC_SCI_NCD,60,60,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2023,UHC_SCI_RMNCH,46,46,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2024,SDGIHR2021,52,52,Africa,AFR,IHR SPAR second edition average core capacity score,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
ARE,2004,GHED_EXTCHE_SHA2011,0,0.00,Eastern Mediterranean,EMR,External health expenditure as percentage of current health expenditure,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2004,UHC_INDEX_REPORTED,74,74,Eastern Mediterranean,EMR,UHC service coverage index,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2004,UHC_SCI_CAPACITY,66,66,Eastern Mediterranean,EMR,UHC service coverage sub-index on service capacity and access,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARE,2004,UHC_SCI_INFECT,99,99,Eastern Mediterranean,EMR,UHC service coverage sub-index on infectious diseases,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
