iso3c,year,iv_distance_weighted_peer_eigen,iv_language_peer_eigen,iv_historical_peer_eigen,iv_contiguous_peer_eigen
SEN,2011,0.21270615947268598,0.2135661554791288,0.40653982370544905,NA
SEN,2012,0.15695348613467883,0.1842323853595895,0.3492637734311248,NA
SEN,2013,0.1427053274731575,0.11769311208112593,0.27471252361053033,NA
SEN,2014,0.14448531118278493,0.11235195034416415,0.30379763588473563,NA
SEN,2015,0.1874910865019312,0.23328683304958045,0.41486314033033067,NA
SEN,2016,0.15860939219611034,0.1282789675911159,0.2533514950892544,NA
SEN,2017,0.11872122592120363,0.08973291411016213,0.21509654924973448,NA
SEN,2018,0.19532075083534586,0.19631432234032992,0.3031905240133569,NA
SEN,2019,0.24666743710922723,0.17001199541708942,0.2523841250648463,NA
SEN,2020,0.19913216629296465,0.15611708007616698,0.2255832391775495,NA
SEN,2021,0.21745876536856198,0.23064029651573117,0.4270000767365726,NA
SEN,2022,0.16134171882544607,0.1627498591436846,0.29536959045311545,NA
SEN,2023,0.14587688460540482,0.1725655651575021,0.31296730989480337,NA
SEN,2024,0.12942116896335465,0.15639787317785936,0.29755731199115865,NA
SGP,2004,0.23171705655923444,0.28358262378368004,0.2947533841782916,0.2231009568670864
SGP,2005,0.19987307607507493,0.2081692212066609,0.19747899128031093,0.20655788539135336
SGP,2006,0.2804226853739106,0.30732348046129077,0.31718929183995626,0.2146106784278348
SGP,2007,0.18201934954907803,0.19705952505647464,0.17583649676733554,0.19259513983534068
SGP,2008,0.15289831597046977,0.1435905066152746,0.10174093123083111,0.2601614652457736
SGP,2009,0.14251259657785287,0.19836370393512884,0.2399498477696808,0.06487594066977703
SGP,2010,0.168140593014908,0.15343740872212822,0.14185769792446667,0.4167801761750793
SGP,2011,0.2163170447925061,0.2352819897701158,0.22520734912563486,0.3237064679831254
SGP,2012,0.15711174425340166,0.13871458428535843,0.12000752450645669,0.2736664243252863
SGP,2013,0.15296655459180203,0.24709305712126647,0.26128833597875,0.08734795216522757
SGP,2014,0.15877217337669938,0.2462995306628791,0.28529872954336255,0.05619941405393208
SGP,2015,0.18690520396793348,0.17403207062478965,0.1526748689354984,0.2079759078568095
SGP,2016,0.1725430136261791,0.2974344768435537,0.35622293813269423,0.01937950625227549
SGP,2017,0.12952559467020797,0.22111900700949955,0.2639686467753691,0.01552610930214234
SGP,2018,0.20606805669640052,0.32711889773722785,0.3752024580568725,0.1074030414975038
SGP,2019,0.25117013814551215,0.26988155584435025,0.3173966217604877,0.09944542164281991
SGP,2020,0.19955760665973005,0.12474225350347425,0.12464347015696256,0.12975650281301843
SGP,2021,0.22119726559316424,0.20042176029187142,0.1831329544939168,0.3396569948757862
SGP,2022,0.1617032951313663,0.1296102308118658,0.11468793093251735,0.26351559619392073
SGP,2023,0.14621428451277896,0.10935713782706791,0.08659060545584188,0.13165030877269382
SGP,2024,0.12967151619268838,0.08552702079836423,0.06782021043755512,0.16180303498626067
SVK,2004,0.21355180847773597,6.11638243488045e-4,9.575605786819812e-4,6.98690489642306e-4
SVK,2005,0.1872448186551838,5.25029184836347e-4,6.486942963811071e-4,3.6289537894989844e-4
SVK,2006,0.25848818101241355,6.713372880113176e-4,0.0013541517061423597,6.534659990097822e-4
SVK,2007,0.1687983070259675,0.0017509122029439,0.0016892927078420573,9.312936075153217e-4
